hero_id,number_of_superhero_friends,injury_heal_time_days,recovery_quality_score,outfit_color_code,average_hours_of_superhero_power_used_per_day
HX-001,11,21,6,red,5.0
HX-002,9,30,8,silver,2.2
HX-003,11,26,8,black,2.1
HX-004,14,18,8,red,9.8
HX-005,9,31,10,red,5.0
HX-006,9,34,10,silver,5.7
HX-007,14,31,7,blue,4.2
HX-008,12,27,7,black,10.0
HX-009,8,35,6,silver,3.8
HX-010,11,28,5,red,2.3
HX-011,8,-5,9,red,3.0
HX-012,8,34,9,silver,4.6
HX-013,10,30,7,black,5.2
HX-014,4,54,8,blue,6.1
HX-015,4,41,8,blue,5.4
HX-016,8,36,7,red,7.9
HX-017,6,38,5,black,0.2
HX-018,10,24,10,blue,2.9
HX-019,7,42,11,black,
HX-020,5,44,10,black,0.0
HX-021,14,26,9,red,4.9
HX-022,9,28,10,blue,7.7
HX-023,10,37,9,silver,6.0
HX-024,5,33,9,red,4.4
HX-025,8,37,10,blue,4.9
HX-026,10,41,9,blue,7.1
HX-027,6,33,10,blue,6.3
HX-028,11,25,10,blue,7.3
HX-029,8,35,7,blue,9.5
HX-030,9,30,10,black,4.3
HX-031,8,26,10,red,5.6
HX-032,15,20,9,black,4.8
HX-033,9,27,7,silver,6.2
HX-034,6,40,10,blue,4.5
HX-035,12,21,9,red,6.4
HX-036,6,46,10,blue,9.1
HX-037,10,26,10,red,7.0
HX-038,4,40,9,black,3.4
HX-039,6,42,9,red,2.0
HX-040,10,24,8,silver,4.3
HX-041,12,27,8,silver,5.4
HX-042,10,37,2,red,3.0
HX-043,9,24,9,red,6.3
HX-044,9,33,10,red,4.1
HX-045,5,41,7,red,4.9
HX-046,7,40,10,silver,3.2
HX-047,8,28,10,blue,6.3
HX-048,13,17,10,red,3.9
HX-049,11,31,10,red,4.1
HX-050,4,44,3,silver,6.9
HX-051,10,31,6,silver,6.5
HX-052,8,36,8,black,5.3
HX-053,7,33,10,red,3.2
HX-054,11,29,10,black,3.7
HX-055,13,26,10,silver,6.1
HX-056,12,22,10,silver,8.7
HX-057,7,45,9,blue,0.1
HX-058,9,34,8,red,5.3
HX-059,10,24,8,black,8.2
HX-060,12,29,10,silver,2.9
HX-061,8,29,3,silver,6.8
HX-062,9,36,8,black,5.4
HX-063,6,44,9,blue,3.8
HX-064,6,34,9,silver,2.6
HX-065,12,31,10,red,5.2
HX-066,14,24,10,silver,0.5
HX-067,9,36,10,red,5.1
HX-068,13,34,7,black,5.0
HX-069,11,27,10,red,8.5
HX-070,8,30,10,black,2.7
HX-071,11,24,10,red,1.8
HX-072,14,18,10,black,0.4
HX-073,9,32,6,red,5.4
HX-074,14,24,8,blue,8.6
HX-075,2,47,9,red,7.9
HX-076,12,30,10,red,4.9
HX-077,10,30,9,blue,4.9
HX-078,9,39,9,silver,4.6
HX-079,10,29,10,silver,2.3
HX-080,4,56,10,red,3.6
HX-081,9,35,10,blue,9.8
HX-082,11,24,9,red,3.7
HX-083,14,17,8,black,5.0
HX-084,8,36,10,black,8.9
HX-085,7,35,10,red,3.0
HX-086,8,-8,9,silver,5.6
HX-087,12,28,9,silver,2.1
HX-088,10,30,6,red,7.1
HX-089,8,30,8,red,180.0
HX-090,11,20,10,black,5.5
HX-091,10,28,10,silver,6.1
HX-092,12,30,8,red,2.2
HX-093,-7,37,10,black,5.8
HX-094,9,26,9,silver,6.6
HX-095,8,35,4,blue,5.7
HX-096,5,42,9,black,6.4
HX-097,10,26,10,silver,5.1
HX-098,10,31,8,silver,5.5
HX-099,10,30,9,black,5.8
HX-100,9,26,9,blue,5.5
HX-101,40,87,7,gold,1.8
HX-102,42,90,3,gold,1.0
HX-103,45,88,2,gold,5.1
HX-104,38,100,9,gold,7.7
HX-105,41,86,2,gold,4.8
HX-106,43,75,7,gold,5.3
HX-107,45,88,6,gold,8.0
HX-108,48,105,1,gold,7.5
HX-109,50,98,6,gold,5.6
HX-110,52,92,1,gold,
